ID,Viewpoint,Location,Collar,Tie,Skirt,Uniform,Sleeve,NSFW,Mood,Subject,Gender,Time,Author,Remarks
,,,,,,,0,0,0,,0,0,,
,,,,,,,Short,Safe,Negative,,Feminine,Day,,
,,,,,,,1,1,1,,1,1,,
,,,,,,,Long,Ecchi,Neutral,,Masculine,Evening,,
,,,,,,,,2,2,,,2,,
,,,,,,,,NSFW,Positive,,,Night,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
20200406-1439,Back,Streets,Navy Blue,,Navy Blue,White,0,0,1,1,0,0,しものふ,
20200406-1507,Front,,Black,Red,Black,White,0,0,1,1,0,,N.G. @ www.tinami.com,
20200407-1325,Back,,Navy Blue,,Navy Blue,White,0,0,2,1,0,,けんたうろす,
20200407-1325-2,Front,Streets,Navy Blue,,,White,1,0,2,1,0,0,けんたうろす,
20200407-1325-3,Side,School,Black,Red,Black,White,0,0,1,1,0,1,けんたうろす,
20200407-1326,Front,,Blue,Red,Blue,White,0,0,1,1,0,,けんたうろす,
20200407-1326-2,Front,,Navy Blue,Red,Navy Blue,White,1,0,1,1,0,,けんたうろす,
20200407-1326-3,Side,School,Black,Red,Black,Black,1,0,1,1,0,1,けんたうろす,
20200408-1426,Side,"Streets,Beach",Navy Blue,Red,Black,Ivory,1,0,2,1,0,"0,1",けんたうろす,
20200408-1427,Front,School,Black,Red,Black,Black,1,0,1,1,0,0,けんたうろす,
20200408-1428,Front,Streets,Black,Red,Black,Black,1,0,2,1,0,0,Kinom,
20200408-1429,Front,,Black,Red,Black,White,1,0,1,1,0,,esato,
20200408-1429-2,Front,School,Navy Blue,Light Blue,Navy Blue,White,0,0,1,1,0,1,Maemi,
20200408-1741,Front,,Navy Blue,Light Blue,Navy Blue,White,1,0,1,2,0,,mery,
20200408-1741-2,Front,,Navy Blue,Light Blue,Navy Blue,White,1,0,2,2,0,,mery,
20200408-1741-3,Front,,Navy Blue,Light Blue,Navy Blue,White,1,0,2,1,0,,mery,Cat
20200408-1741-4,Front,Streets,Navy Blue,Light Blue,Navy Blue,White,1,0,2,1,0,0,mery,Cat
20200409-1033,Side,Streets,Black,Pink,,White,1,0,2,1,0,0,akikiri兔,
20200409-1033-2,Front,,Navy Blue,Red,Navy Blue,White,1,0,2,1,0,,K.J.,"Collar,Cat"
20200409-1033-3,Top,Streets,Navy Blue,Red,Navy Blue,White,1,0,1,1,0,0,しろみ,
20200411-0136,Side,"Onsen,Building",Navy Blue,White,Navy Blue,Navy Blue,1,0,2,2,0,0,ぺんたごん,
20200411-0137,"Front,Back,Side","School,Hidden",Navy Blue,Navy Blue,Navy Blue,White,1,0,2,3,0,,ぺんたごん,
20200411-0138,"Front,Side","School,Hidden",Navy Blue,Navy Blue,Navy Blue,White,1,0,2,3,0,,ぺんたごん,
20200411-0139,Front,,Navy Blue,White,Navy Blue,Navy Blue,1,0,1,1,0,,ぺんたごん,
20200411-0139-2,Front,Hidden,Navy Blue,Light Blue,Navy Blue,White,1,0,2,1,0,,ぺんたごん,
20200412-0135,Front,,Black,Deep Blue,,Black,1,0,2,1,0,,りも 🍼,
20200412-0135-2,Side,,Navy Blue,Deep Blue,Navy Blue,Navy Blue,1,0,2,1,0,,りも 🍼,
20200412-0135-3,Front,,Black,Red,Black,White,1,0,,1,0,,しぐれ,
